City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
580,Kieta,PG,77.97,light rain,-6.2167,155.6333,Uruna Bay Retreat
586,Maragogi,BR,84.67,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
587,Karangasem,ID,77.88,light rain,-8.45,115.6167,Villa Campuhan
589,Bento Goncalves,BR,85.19,moderate rain,-29.1714,-51.5192,Dall'Onder Grande Hotel
591,Suzano,BR,77.5,overcast clouds,-23.5425,-46.3108,Metrópole Palace Hotel
592,Carutapera,BR,83.77,overcast clouds,-1.195,-46.02,Lidera
596,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
597,Belmonte,BR,84.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
603,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
604,Bacolod,PH,76.96,overcast clouds,10.6667,122.95,Planta Hotel & Residences
608,Bani,DO,87.24,clear sky,18.2833,-70.3333,Hospedaje Henriquez
610,Le Port,RE,77.0,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
611,Mbini,GQ,84.04,overcast clouds,1.574,9.6134,
617,Salina Cruz,MX,87.15,clear sky,16.1667,-95.2,Amerik HOTEL
618,Iquitos,PE,89.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
623,Acari,PE,81.66,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
624,Yumbel,CL,86.25,clear sky,-37.0833,-72.5667,Hotel Fuerte Santa LucÍa de Yumbel
625,Lazaro Cardenas,MX,84.31,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
628,Kalmunai,LK,77.68,overcast clouds,7.4167,81.8167,VS Villa
632,San Pedro,PH,78.03,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
634,Waharoa,NZ,75.33,overcast clouds,-37.7667,175.7667,Broadway Motel & Miro Court Villas
637,Dhidhdhoo,MV,81.73,overcast clouds,6.8833,73.1,Dhidhoo beach
638,Kloulklubed,PW,82.0,few clouds,7.0419,134.2556,Storyboard Beach Resort
639,Tucuman,AR,75.2,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
643,Basco,PH,75.72,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
649,Samarai,PG,80.64,broken clouds,-10.6167,150.6667,Nuli Sapi
653,Mahibadhoo,MV,81.68,overcast clouds,3.7833,72.9667,Omadhoo Inn
654,Rosamorada,MX,85.39,clear sky,22.1222,-105.2058,Hotel Gonzalez
657,Fare,PF,81.34,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
659,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
662,Polewali,ID,75.6,overcast clouds,-3.4324,119.3435,Lilianto Hotel
663,Bolobo,CD,77.52,overcast clouds,-2.1667,16.2333,Hotel de Stephen
666,Bouillante,GP,81.37,scattered clouds,16.1304,-61.7692,Gîtes Dardanelle
671,Santo Andre,BR,75.13,overcast clouds,-23.6639,-46.5383,Blue Tree Towers All Suites Santo André
673,Half Moon Bay,US,75.45,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
674,Antalaha,MG,75.88,few clouds,-14.9003,50.2788,Hotel Vitasoa
675,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
676,Chokwe,MZ,75.34,clear sky,-24.5333,32.9833,Complexo Sonho Real
680,Amudat,UG,77.32,scattered clouds,1.95,34.95,Silent Night Hotel
693,Ligayan,PH,80.73,overcast clouds,4.6533,119.4706,
695,Imbituba,BR,84.81,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
697,Aitape,PG,77.88,moderate rain,-3.1374,142.3475,
