City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Hithadhoo,MV,2022-02-09 23:26:50,-0.6,73.0833,81.72,74,51,12.44
215,Parana,AR,2022-02-09 23:25:39,-31.732,-60.5238,82.56,54,0,3.74
216,Pevek,RU,2022-02-09 23:26:51,69.7008,170.3133,-32.44,99,100,5.55
217,Alofi,NU,2022-02-09 23:26:51,-19.0595,-169.9187,85.89,62,75,9.22
218,Meulaboh,ID,2022-02-09 23:24:03,4.1363,96.1285,73.22,86,100,6.53
219,Amapa,BR,2022-02-09 23:26:52,1.0,-52.0,72.23,98,99,2.75
220,Qaqortoq,GL,2022-02-09 23:26:52,60.7167,-46.0333,16.3,76,93,9.93
221,Norsup,VU,2022-02-09 23:26:53,-16.0667,167.3833,81.3,84,100,23.76
222,Fortuna,US,2022-02-09 23:26:53,40.5982,-124.1573,69.93,55,20,8.05
223,Gambela,ET,2022-02-09 23:26:54,8.25,34.5833,83.8,32,59,0.36
224,Kargat,RU,2022-02-09 23:26:54,55.1956,80.2811,-13.34,96,6,7.9
225,Bambous Virieux,MU,2022-02-09 23:26:55,-20.3428,57.7575,75.45,83,40,0.0
226,Constitucion,CL,2022-02-09 23:26:55,-35.3333,-72.4167,64.2,73,17,11.83
227,Clyde River,CA,2022-02-09 23:26:55,70.4692,-68.5914,-18.17,69,75,17.27
228,Upington,ZA,2022-02-09 23:27:56,-28.4478,21.2561,73.78,43,0,5.75
229,Lazaro Cardenas,MX,2022-02-09 23:27:56,17.9583,-102.2,80.78,56,0,10.07
230,Riohacha,CO,2022-02-09 23:27:57,11.5444,-72.9072,80.71,78,75,13.8
231,Ponta Delgada,PT,2022-02-09 23:27:57,37.7333,-25.6667,59.5,72,20,11.5
232,Rio Cuarto,AR,2022-02-09 23:27:58,-33.1307,-64.3499,78.57,47,0,11.5
233,Lerwick,GB,2022-02-09 23:27:58,60.1545,-1.1494,39.2,75,74,28.21
234,Hargeysa,SO,2022-02-09 23:27:59,9.56,44.065,57.47,76,70,9.95
235,Kindu,CD,2022-02-09 23:27:59,-2.95,25.95,70.18,99,100,1.16
236,Arlit,NE,2022-02-09 23:28:00,18.7369,7.3853,66.72,9,0,7.83
237,Sao Felix Do Xingu,BR,2022-02-09 23:28:00,-6.6447,-51.995,73.15,98,100,1.83
238,Alugan,PH,2022-02-09 23:23:16,12.2188,125.4808,79.29,75,98,12.5
239,Chicla,PE,2022-02-09 23:28:01,-11.705,-76.2686,45.01,95,100,6.13
240,Talnakh,RU,2022-02-09 23:28:01,69.4865,88.3972,-3.8,97,100,11.1
241,Dongsheng,CN,2022-02-09 23:28:02,39.8161,109.9776,17.96,66,0,9.53
242,Skjervoy,NO,2022-02-09 23:28:02,70.0311,20.9714,30.07,59,99,11.95
243,Mumford,GH,2022-02-09 23:28:03,5.2618,-0.759,79.0,89,4,7.16
